NCBI_Accession	Directory_Name	Species	Common_Name
GCA_013389925.1	Aegithalos_caudatus__Northern_long-tailed_tit__HLaegCau1__GCA_013389925.1	Aegithalos caudatus	Northern long-tailed tit
GCA_902810485.1	Alauda_arvensis__Eurasian_skylark__HLalaArv1__GCA_902810485.1	Alauda arvensis	Eurasian skylark
GCA_013398995.1	Alaudala_cheleensis__Asian_short-toed_lark__HLalaChe1__GCA_013398995.1	Alaudala cheleensis	Asian short-toed lark
GCA_009792885.1	Eremophila_alpestris_peregrina__horned_lark__HLereAlp1__GCA_009792885.1	Eremophila alpestris peregrina	horned lark
GCA_013400215.1	Cisticola_juncidis__Zitting_cisticola__HLcisJun1__GCA_013400215.1	Cisticola juncidis	Zitting cisticola
GCA_021018805.1	Prinia_subflava__tawny-flanked_prinia__HLpriSub1__GCA_021018805.1	Prinia subflava	tawny-flanked prinia
GCA_037837765.1	Delichon_dasypus__Asian_house_martin__HLdelDasy1__GCA_037837765.1	Delichon dasypus	Asian house martin
GCA_015227805.1	Hirundo_rustica__Barn_swallow__HLhirRus2__GCA_015227805.1	Hirundo rustica	Barn swallow
GCA_003692655.1	Hirundo_rustica_rustica__Barn_swallow__HLhirRus1__GCA_003692655.1	Hirundo rustica rustica	Barn swallow
GCA_022316685.1	Progne_subis_subis__Purple_martin__HLproSubSub1__GCA_022316685.1	Progne subis subis	Purple martin
GCA_020917445.1	Riparia_riparia__Sand_martin__HLripRip1__GCA_020917445.1	Riparia riparia	Sand martin
GCA_013400445.1	Leiothrix_lutea__red-billed_leiothrix__HLleiLut1__GCA_013400445.1	Leiothrix lutea	red-billed leiothrix
GCA_024734555.1	Trochalopteron_elliotii__Elliots_laughingthrush__HLtroEll1__GCA_024734555.1	Trochalopteron elliotii	Elliots laughingthrush
GCA_013400155.1	Locustella_ochotensis__Middendorffs_grasshopper-warbler__HLlocOch1__GCA_013400155.1	Locustella ochotensis	Middendorffs grasshopper-warbler
GCA_045788125.1	Locustella_lanceolata__Lanceolated_warbler__HLlocLanc1__GCA_045788125.1	Locustella lanceolata	Lanceolated warbler
GCA_027886175.1	Phylloscopus_collybita__Eurasian_chiffchaff__HLphyColl1__GCA_027886175.1	Phylloscopus collybita	Eurasian chiffchaff
GCA_045786995.1	Phylloscopus_ibericus__Iberian_chiffchaff__HLphyIber1__GCA_045786995.1	Phylloscopus ibericus	Iberian chiffchaff
GCA_048593965.1	Phylloscopus_trochiloides__Greenish_warbler__HLphyTroc1__GCA_048593965.1	Phylloscopus trochiloides	Greenish warbler
GCA_017589585.1	Phylloscopus_whistleri__Whistlers_warbler__HLphyWhi1__GCA_017589585.1	Phylloscopus whistleri	Whistlers warbler
GCA_002305835.1	Phylloscopus_trochilus_acredula__Willow_warbler__HLphyTro1__GCA_002305835.1	Phylloscopus trochilus acredula	Willow warbler
GCA_013400275.1	Rhadina_sibilatrix__Wood_Warbler__HLrhaSib1__GCA_013400275.1	Rhadina sibilatrix	Wood Warbler
GCA_013398615.1	Brachypodius_atriceps__black-headed_bulbul__HLbraAtr1__GCA_013398615.1	Brachypodius atriceps	black-headed bulbul
GCA_013400495.1	Nicator_chloris__Western_nicator__HLnicChl1__GCA_013400495.1	Nicator chloris	Western nicator
GCA_053477605.1	Pycnonotus_cafer__Red-vented_bulbul__HLpycCafe1__GCA_053477605.1	Pycnonotus cafer	Red-vented bulbul
GCA_013400435.1	Pycnonotus_jocosus__red-whiskered_bulbul__HLpycJoc1__GCA_013400435.1	Pycnonotus jocosus	red-whiskered bulbul
GCA_013398685.1	Acrocephalus_arundinaceus__great_reed_warbler__HLacrAru1__GCA_013398685.1	Acrocephalus arundinaceus	great reed warbler
GCA_021534815.1	Acrocephalus_arundinaceus__Great_reed_warbler__HLacrAru2__GCA_021534815.1	Acrocephalus arundinaceus	Great reed warbler
GCA_022441285.1	Acrocephalus_familiaris_kingi__Nihoa_millerbird__HLacrFamKin1__GCA_022441285.1	Acrocephalus familiaris kingi	Nihoa millerbird
GCA_045783595.1	Acrocephalus_melanopogon__Moustached_warbler__HLacrMela1__GCA_045783595.1	Acrocephalus melanopogon	Moustached warbler
GCA_965285925.1	Acrocephalus_paludicola__aquatic_warbler__HLacrPalu1__GCA_965285925.1	Acrocephalus paludicola	aquatic warbler
GCA_045838425.1	Acrocephalus_schoenobaenus__Sedge_warbler__HLacrScho1__GCA_045838425.1	Acrocephalus schoenobaenus	Sedge warbler
GCA_910950805.1	Acrocephalus_scirpaceus_scirpaceus__Eurasian_reed_warbler__HLacrSciSci1__GCA_910950805.1	Acrocephalus scirpaceus scirpaceus	Eurasian reed warbler
GCA_013401135.1	Cettia_cetti__Cettis_warbler__HLcetCet1__GCA_013401135.1	Cettia cetti	Cettis warbler
GCA_013400075.1	Hippolais_icterina__icterine_warbler__HLhipIct1__GCA_013400075.1	Hippolais icterina	icterine warbler
GCA_013397195.1	Hylia_prasina__green_hylia__HLhylPra1__GCA_013397195.1	Hylia prasina	green hylia
GCA_045787885.1	Iduna_caligata__Booted_warbler__HLiduCali1__GCA_045787885.1	Iduna caligata	Booted warbler
GCA_013399515.1	Sylvietta_virens__Green_crombec__HLsylVir1__GCA_013399515.1	Sylvietta virens	Green crombec
GCA_042477295.1	Fulvetta_ruficapilla__Spectacled_fulvetta__HLfulRufi1__GCA_042477295.1	Fulvetta ruficapilla	Spectacled fulvetta
GCA_013397395.1	Paradoxornis_webbianus__crow_tit__HLparWeb1__GCA_013397395.1	Paradoxornis webbianus	crow tit
GCF_029207755.1	Chamaea_fasciata__wrentit__HLchaFas1A__GCF_029207755.1	Chamaea fasciata	wrentit
GCA_029207785.1	Chamaea_fasciata__wrentit__HLchaFas1B__GCA_029207785.1	Chamaea fasciata	wrentit
GCA_045784985.1	Curruca_cantillans__Eastern_subalpine_warbler__HLcurCant1__GCA_045784985.1	Curruca cantillans	Eastern subalpine warbler
GCA_045787085.1	Curruca_ruppeli__Rueppells_warbler__HLcurRupp1__GCA_045787085.1	Curruca ruppeli	Rueppells warbler
GCA_009819655.1	Sylvia_atricapilla__blackcap__HLsylAtr1__GCA_009819655.1	Sylvia atricapilla	blackcap
GCA_014839755.1	Sylvia_borin__garden_warbler__HLsylBor1__GCA_014839755.1	Sylvia borin	garden warbler
GCA_008694505.1	Cyanoderma_ruficeps__rufous-capped_babbler__HLcyaRuf1__GCA_008694505.1	Cyanoderma ruficeps	rufous-capped babbler
GCA_013400515.1	Erpornis_zantholeuca__White_bellied_erpornis__HLerpZan1__GCA_013400515.1	Erpornis zantholeuca	White bellied erpornis
GCA_013399915.1	Illadopsis_cleaveri__blackcap_illadopsis__HLillCle1__GCA_013399915.1	Illadopsis cleaveri	blackcap illadopsis
GCA_003546035.1	Mixornis_gularis__Striped_tit-babbler__HLmixGul1__GCA_003546035.1	Mixornis gularis	Striped tit-babbler
GCA_013401195.1	Pomatorhinus_ruficollis__streak-breasted_scimitar_babbler__HLpomRuf1__GCA_013401195.1	Pomatorhinus ruficollis	streak-breasted scimitar babbler
GCA_013401235.1	Pteruthius_melanotis__Black_eared_shrike_babbler__HLpteMel1__GCA_013401235.1	Pteruthius melanotis	Black eared shrike babbler
GCA_013397095.1	Sterrhoptilus_dennistouni__Golden_crowned_babbler__HLsteDen1__GCA_013397095.1	Sterrhoptilus dennistouni	Golden crowned babbler
GCA_007252995.1	Zosterops_borbonicus__Reunion_grey_white_eye__HLzosBor1__GCA_007252995.1	Zosterops borbonicus	Reunion grey white eye
