NCBI_Accession	Directory_Name	Species	Common_Name
GCA_011076525.1	Nettapus_auritus__African_pygmy_goose__HLnetAur1__GCA_011076525.1	Nettapus auritus	African pygmy goose
GCA_024635365.1	Aix_galericulata__mandarin_duck__HLaixGal1__GCA_024635365.1	Aix galericulata	mandarin duck
GCA_051175885.1	Aix_sponsa__Wood_duck__HLaixSpon1__GCA_051175885.1	Aix sponsa	Wood duck
GCA_038381965.1	Amazonetta_brasiliensis__Brazilian_duck__HLamaBras1__GCA_038381965.1	Amazonetta brasiliensis	Brazilian duck
GCF_963932015.1	Anas_acuta__Northern_pintail__HLanaAcu1__GCF_963932015.1	Anas acuta	Northern pintail
GCA_038381715.1	Anas_bahamensis__white-cheeked_pintail__HLanaBaha1__GCA_038381715.1	Anas bahamensis	white-cheeked pintail
GCA_032165215.1	Anas_bernieri__Berniers_teal__HLanaBern1__GCA_032165215.1	Anas bernieri	Berniers teal
GCA_032357685.1	Anas_capensis__Cape_teal__HLanaCape1__GCA_032357685.1	Anas capensis	Cape teal
GCA_036873605.1	Anas_crecca__Common_teal__HLanaCrec1__GCA_036873605.1	Anas crecca	Common teal
GCA_052075425.1	Anas_melleri__Mellers_duck__HLanaMell1__GCA_052075425.1	Anas melleri	Mellers duck
GCF_015476345.1	Anas_platyrhynchos__Mallard__HLanaPla3__GCF_015476345.1	Anas platyrhynchos	Mallard
GCA_002224875.1	Anas_zonorhyncha__Eastern_spot-billed_duck__HLanaZon1__GCA_002224875.1	Anas zonorhyncha	Eastern spot-billed duck
GCA_964188345.1	Anas_platyrhynchos__Mallard__HLanaPlat4A__GCA_964188345.1	Anas platyrhynchos	Mallard
GCA_002743455.1	Anas_platyrhynchos_platyrhynchos__common_mallard__HLanaPla2__GCA_002743455.1	Anas platyrhynchos platyrhynchos	common mallard
GCA_013398475.1	Asarcornis_scutulata__White_winged_duck__HLasaScu1__GCA_013398475.1	Asarcornis scutulata	White winged duck
GCA_964059595.1	Bucephala_clangula__Common_goldeneye__HLbucCla1__GCA_964059595.1	Bucephala clangula	Common goldeneye
GCA_009194515.1	Cairina_moschata_domestica__Muscovy_Duck__HLcaiMos1__GCA_009194515.1	Cairina moschata domestica	Muscovy Duck
GCA_049176255.1	Callonetta_leucophrys__Ringed_teal__HLcalLeuc1__GCA_049176255.1	Callonetta leucophrys	Ringed teal
GCA_963989345.1	Clangula_hyemalis__Long-tailed_duck__HLclaHyem1__GCA_963989345.1	Clangula hyemalis	Long-tailed duck
GCA_011075105.1	Heteronetta_atricapilla__Black_headed_duck__HLhetAtr1__GCA_011075105.1	Heteronetta atricapilla	Black headed duck
GCA_049176295.1	Lophodytes_cucullatus__Hooded_merganser__HLlopCucu1__GCA_049176295.1	Lophodytes cucullatus	Hooded merganser
GCA_053567875.1	Mareca_falcata__Falcated_duck__HLmarFalc1__GCA_053567875.1	Mareca falcata	Falcated duck
GCA_965278785.1	Mareca_strepera__Gadwall__HLmarStre1A__GCA_965278785.1	Mareca strepera	Gadwall
GCA_051254355.1	Mergellus_albellus__Smew__HLmerAlbe1__GCA_051254355.1	Mergellus albellus	Smew
GCA_036873955.1	Mergus_octosetaceus__Brazilian_merganser__HLmerOcto1A__GCA_036873955.1	Mergus octosetaceus	Brazilian merganser
GCA_011077185.1	Oxyura_jamaicensis__ruddy_duck__HLoxyJam1__GCA_011077185.1	Oxyura jamaicensis	ruddy duck
GCA_951411735.1	Somateria_mollissima__Common_eider__HLsomMoll1A__GCA_951411735.1	Somateria mollissima	Common eider
GCA_977066335.1	Spatula_clypeata__Northern_shoveler__HLspaClyp1A__GCA_977066335.1	Spatula clypeata	Northern shoveler
GCA_976913865.1	Anser_albifrons__White-fronted_goose__HLansAlbi1A__GCA_976913865.1	Anser albifrons	White-fronted goose
GCA_964211835.1	Anser_anser__Domestic_goose__HLansAnse1A__GCA_964211835.1	Anser anser	Domestic goose
GCA_002592135.1	Anser_brachyrhynchus__Pink-footed_goose__HLansBra1__GCA_002592135.1	Anser brachyrhynchus	Pink-footed goose
GCA_964034855.1	Anser_brachyrhynchus__Pink-footed_goose__HLansBrac2__GCA_964034855.1	Anser brachyrhynchus	Pink-footed goose
GCA_013030995.1	Anser_cygnoides__Swan_goose__HLansCyg2__GCA_013030995.1	Anser cygnoides	Swan goose
GCF_040182565.1	Anser_cygnoides__Swan_goose__HLansCygn3__GCF_040182565.1	Anser cygnoides	Swan goose
GCA_965277985.1	Anser_erythropus__Lesser_white-fronted_goose__HLansEryt1A__GCA_965277985.1	Anser erythropus	Lesser white-fronted goose
GCA_965250395.1	Anser_fabalis__Taiga_bean_goose__HLansFaba1__GCA_965250395.1	Anser fabalis	Taiga bean goose
GCA_006229135.1	Anser_indicus__Bar-headed_goose__HLansInd1__GCA_006229135.1	Anser indicus	Bar-headed goose
GCA_006130075.1	Branta_canadensis__Canada_goose__HLbraCan1__GCA_006130075.1	Branta canadensis	Canada goose
GCA_965231335.1	Branta_canadensis__Canada_goose__HLbraCana2__GCA_965231335.1	Branta canadensis	Canada goose
GCA_032270845.1	Branta_hutchinsii__Cackling_goose__HLbraHutc1__GCA_032270845.1	Branta hutchinsii	Cackling goose
GCA_965642265.1	Branta_leucopsis__Barnacle_goose__HLbraLeuc1A__GCA_965642265.1	Branta leucopsis	Barnacle goose
GCA_045784505.1	Branta_ruficollis__Red-breasted_goose__HLbraRufi1__GCA_045784505.1	Branta ruficollis	Red-breasted goose
GCA_051419555.1	Branta_sandvicensis__Nene__HLbraSand1__GCA_051419555.1	Branta sandvicensis	Nene
GCA_013377495.1	Cygnus_atratus__black_swan__HLcygAtr1__GCA_013377495.1	Cygnus atratus	black swan
GCF_013377495.2	Cygnus_atratus__Black_swan__HLcygAtr2__GCF_013377495.2	Cygnus atratus	Black swan
GCA_019232035.1	Cygnus_buccinator__trumperter_swan__HLcygBuc1__GCA_019232035.1	Cygnus buccinator	trumperter swan
GCA_965151615.1	Cygnus_columbianus__Tundra_swan__HLcygColu1__GCA_965151615.1	Cygnus columbianus	Tundra swan
GCA_965278775.1	Cygnus_cygnus__Common_whooper__HLcygCygn1A__GCA_965278775.1	Cygnus cygnus	Common whooper
GCA_009769625.1	Cygnus_olor__mute_swan__HLcygOlo1__GCA_009769625.1	Cygnus olor	mute swan
GCA_049176275.1	Aythya_americana__Redhead__HLaytAmer1__GCA_049176275.1	Aythya americana	Redhead
GCA_026413565.1	Aythya_baeri__Baers_pochard__HLaytBaer1__GCA_026413565.1	Aythya baeri	Baers pochard
GCA_964211825.1	Aythya_ferina__Common_pochard__HLaytFeri1A__GCA_964211825.1	Aythya ferina	Common pochard
GCA_009819795.1	Aythya_fuligula__tufted_duck__HLaytFul1__GCA_009819795.1	Aythya fuligula	tufted duck
GCA_965140915.1	Aythya_marila__Greater_scaup__HLaytMari1A__GCA_965140915.1	Aythya marila	Greater scaup
GCA_052075125.1	Aythya_nyroca__Ferruginous_duck__HLaytNyro1__GCA_052075125.1	Aythya nyroca	Ferruginous duck
GCA_051419195.1	Netta_peposaca__Rosy-billed_pochard__HLnetPepo1__GCA_051419195.1	Netta peposaca	Rosy-billed pochard
GCA_964035555.1	Netta_rufina__Red-crested_pochard__HLnetRuf1__GCA_964035555.1	Netta rufina	Red-crested pochard
GCA_049176575.1	Dendrocygna_arborea__Black-billed_whistling-duck__HLdenArbo1__GCA_049176575.1	Dendrocygna arborea	Black-billed whistling-duck
GCA_048604525.1	Dendrocygna_autumnalis__Black-bellied_whistling-duck__HLdenAutu1__GCA_048604525.1	Dendrocygna autumnalis	Black-bellied whistling-duck
GCA_051419595.1	Dendrocygna_bicolor__Fulvous_whistling-duck__HLdenBico1__GCA_051419595.1	Dendrocygna bicolor	Fulvous whistling-duck
GCA_051419395.1	Dendrocygna_viduata__White-faced_whistling-duck__HLdenVidu1__GCA_051419395.1	Dendrocygna viduata	White-faced whistling-duck
GCA_011074415.1	Stictonetta_naevosa__freckled_duck__HLstiNae1__GCA_011074415.1	Stictonetta naevosa	freckled duck
GCA_965278175.1	Alopochen_aegyptiaca__Egyptian_goose__HLaloAegy1A__GCA_965278175.1	Alopochen aegyptiaca	Egyptian goose
GCA_045784645.1	Tadorna_tadorna__Common_shelduck__HLtadTado1__GCA_045784645.1	Tadorna tadorna	Common shelduck
GCA_013399475.1	Chauna_torquata__southern_screamer__HLchaTor1__GCA_013399475.1	Chauna torquata	southern screamer
GCA_013399115.1	Anseranas_semipalmata__magpie_goose__HLansSem1__GCA_013399115.1	Anseranas semipalmata	magpie goose
GCA_013396635.1	Penelope_pileata__White-crested_guan__HLpenPil1__GCA_013396635.1	Penelope pileata	White-crested guan
GCA_014595935.1	Numida_meleagris__helmeted_guineafowl__HLnumMel2__GCA_014595935.1	Numida meleagris	helmeted guineafowl
GCA_002218305.1	Callipepla_squamata__scaled_quail__HLcalSqu1__GCA_002218305.1	Callipepla squamata	scaled quail
GCA_023055725.1	Callipepla_californica_brunnescens__California_quail__HLcalCalBru1__GCA_023055725.1	Callipepla californica brunnescens	California quail
GCA_008692595.1	Colinus_virginianus__northern_bobwhite__HLcolVir2__GCA_008692595.1	Colinus virginianus	northern bobwhite
GCF_038088225.1	Cyrtonyx_montezumae__Montezuma_quail__HLcyrMon1__GCF_038088225.1	Cyrtonyx montezumae	Montezuma quail
GCA_013399175.1	Odontophorus_gujanensis__marbled_wood_quail__HLodoGuj1__GCA_013399175.1	Odontophorus gujanensis	marbled wood quail
GCA_036925125.1	Oreortyx_pictus__Mountain_quail__HLorePict1A__GCA_036925125.1	Oreortyx pictus	Mountain quail
GCF_039878825.1	Excalfactoria_chinensis__Blue-breasted_quail__HLexcChin1B__GCF_039878825.1	Excalfactoria chinensis	Blue-breasted quail
GCA_905368555.1	Meleagris_gallopavo__turkey__HLmelGal6__GCA_905368555.1	Meleagris gallopavo	turkey
GCA_019345075.1	Alectoris_rufa__red-legged_partridge__HLalcRuf1__GCA_019345075.1	Alectoris rufa	red-legged partridge
GCA_035666275.1	Alectoris_chukar__Chukar_partridge__HLaleChuk1__GCA_035666275.1	Alectoris chukar	Chukar partridge
GCA_965278835.1	Alectoris_graeca__Rock_partridge__HLaleGrae1__GCA_965278835.1	Alectoris graeca	Rock partridge
GCA_030625065.1	Alectoris_magna__Przewalskis_partridge__HLaleMagn1__GCA_030625065.1	Alectoris magna	Przewalskis partridge
GCA_002909625.1	Bambusicola_thoracicus__Chinese_bamboo-partridge__HLbamTho1__GCA_002909625.1	Bambusicola thoracicus	Chinese bamboo-partridge
GCA_051820755.1	Coturnix_coturnix__Common_quail__HLcotCotu1__GCA_051820755.1	Coturnix coturnix	Common quail
GCF_001577835.1	Coturnix_japonica__Japanese_quail__cotJap2__GCF_001577835.1	Coturnix japonica	Japanese quail
GCA_035772895.1	Perdix_hodgsoniae__Tibetan_partridge__HLperHodg1__GCA_035772895.1	Perdix hodgsoniae	Tibetan partridge
GCA_036784685.1	Chrysolophus_amherstiae__Lady_Amhersts_pheasant__HLchrAmhe1__GCA_036784685.1	Chrysolophus amherstiae	Lady Amhersts pheasant
GCA_003413605.1	Chrysolophus_pictus__golden_pheasant__HLchrPic1__GCA_003413605.1	Chrysolophus pictus	golden pheasant
GCA_036346035.1	Crossoptilon_crossoptilon__White-eared_pheasant__HLcroCros1__GCA_036346035.1	Crossoptilon crossoptilon	White-eared pheasant
GCA_019593555.1	Crossoptilon_mantchuricum__brown_eared-pheasant__HLcroMan1__GCA_019593555.1	Crossoptilon mantchuricum	brown eared-pheasant
GCF_016699485.2	Gallus_gallus__chicken__HLgalGal7__GCF_016699485.2	Gallus gallus	chicken
GCF_016700215.2	Gallus_gallus__Chicken__HLgalGal8__GCF_016700215.2	Gallus gallus	Chicken
GCF_000002315.5	Gallus_gallus__chicken__galGal6__GCF_000002315.5	Gallus gallus	chicken
GCA_021292215.1	Lophura_nycthemera__Silver_pheasant__HLlopNyc1__GCA_021292215.1	Lophura nycthemera	Silver pheasant
GCA_030408155.1	Lophura_swinhoii__Swinhoes_pheasant__HLlopSwin1__GCA_030408155.1	Lophura swinhoii	Swinhoes pheasant
GCA_005519975.1	Pavo_cristatus__Indian_peafowl__HLpavCri1__GCA_005519975.1	Pavo cristatus	Indian peafowl
GCA_016647715.1	Pavo_muticus__green_peafowl__HLpavMut1__GCA_016647715.1	Pavo muticus	green peafowl
GCA_004143745.1	Phasianus_colchicus__Ring-necked_pheasant__HLphaCol1__GCA_004143745.1	Phasianus colchicus	Ring-necked pheasant
GCA_015227605.1	Phasianus_colchicus__Ring-necked_pheasant__HLphaCol2__GCA_015227605.1	Phasianus colchicus	Ring-necked pheasant
GCA_003435085.1	Syrmaticus_mikado__Mikado_pheasant__HLsyrMik1__GCA_003435085.1	Syrmaticus mikado	Mikado pheasant
GCA_028571105.1	Tragopan_temminckii__Temmincks_tragopan__HLtraTemm1__GCA_028571105.1	Tragopan temminckii	Temmincks tragopan
GCA_005890655.1	Centrocercus_minimus__Gunnison_sage-grouse__HLcenMin1__GCA_005890655.1	Centrocercus minimus	Gunnison sage-grouse
GCF_019232065.1	Centrocercus_urophasianus__Greater_sage-grouse__HLcenUro1__GCF_019232065.1	Centrocercus urophasianus	Greater sage-grouse
GCF_019238085.1	Lagopus_leucura__white-tailed_ptarmigan__HLlagLeu1__GCF_019238085.1	Lagopus leucura	white-tailed ptarmigan
GCA_023343835.1	Lagopus_muta__rock_ptarmigan__HLlagMut1__GCA_023343835.1	Lagopus muta	rock ptarmigan
GCA_043882375.1	Lyrurus_tetrix__Black_grouse__HLlyrTetr1__GCA_043882375.1	Lyrurus tetrix	Black grouse
GCA_951394365.1	Tetrao_urogallus__Western_capercaillie__HLtetUro1__GCA_951394365.1	Tetrao urogallus	Western capercaillie
GCF_026119805.1	Tympanuchus_pallidicinctus__Lesser_prairie-chicken__HLtymPal1__GCF_026119805.1	Tympanuchus pallidicinctus	Lesser prairie-chicken
GCA_001870855.1	Tympanuchus_cupido_pinnatus__greater_prairie_chicken__HLtymCup1__GCA_001870855.1	Tympanuchus cupido pinnatus	greater prairie chicken
GCF_034638445.1	Ciconia_boyciana__Oriental_stork__HLcicBoyc1__GCF_034638445.1	Ciconia boyciana	Oriental stork
GCA_030584885.1	Ciconia_ciconia__White_stork__HLcicCico1__GCA_030584885.1	Ciconia ciconia	White stork
GCA_017639555.1	Ciconia_maguari__Maguari_stork__HLcicMag2__GCA_017639555.1	Ciconia maguari	Maguari stork
GCF_035582795.1	Mycteria_americana__Wood_stork__HLmycAmer1__GCF_035582795.1	Mycteria americana	Wood stork
GCA_013400375.1	Thinocorus_orbignyianus__Gray_breasted_seedsnipe__HLthiOrb1__GCA_013400375.1	Thinocorus orbignyianus	Gray breasted seedsnipe
GCF_030936135.1	Gavia_stellata__Red-throated_loon__HLgavStel3B__GCF_030936135.1	Gavia stellata	Red-throated loon
GCF_000690875.1	Gavia_stellata__red-throated_loon__gavSte1__GCF_000690875.1	Gavia stellata	red-throated loon
GCA_017310255.1	Butorides_virescens__green_heron__HLbutVir1__GCA_017310255.1	Butorides virescens	green heron
GCA_013396365.1	Cochlearius_cochlearius__boat-billed_heron__HLcocCoc1__GCA_013396365.1	Cochlearius cochlearius	boat-billed heron
GCF_000687185.1	Egretta_garzetta__little_egret__egrGar1__GCF_000687185.1	Egretta garzetta	little egret
GCA_018403395.1	Gorsachius_goisagi__Japanese_night-heron__HLgorGoi1__GCA_018403395.1	Gorsachius goisagi	Japanese night-heron
GCA_034008185.1	Gorsachius_magnificus__White-eared_night_heron__HLgorMagn1__GCA_034008185.1	Gorsachius magnificus	White-eared night heron
GCA_023375905.1	Nycticorax_nycticorax__black-crowned_night-heron__HLnycNyc1__GCA_023375905.1	Nycticorax nycticorax	black-crowned night-heron
GCA_030463565.1	Pelecanus_crispus__Dalmatian_pelican__HLpelCris2__GCA_030463565.1	Pelecanus crispus	Dalmatian pelican
GCA_051176275.1	Pelecanus_erythrorhynchos__American_white_pelican__HLpelEryt1__GCA_051176275.1	Pelecanus erythrorhynchos	American white pelican
GCF_000687375.1	Pelecanus_crispus__Dalmatian_pelican__pelCri1__GCF_000687375.1	Pelecanus crispus	Dalmatian pelican
GCA_013400535.1	Scopus_umbretta__Hamerkop__HLscoUmbr1__GCA_013400535.1	Scopus umbretta	Hamerkop
GCA_041043685.1	Eudocimus_ruber__Scarlet_ibis__HLeudRube1__GCA_041043685.1	Eudocimus ruber	Scarlet ibis
GCA_013399675.1	Mesembrinibis_cayennensis__Green_ibis__HLmesCay1__GCA_013399675.1	Mesembrinibis cayennensis	Green ibis
GCF_000708225.1	Nipponia_nippon__crested_ibis__nipNip1__GCF_000708225.1	Nipponia nippon	crested ibis
GCA_965183815.1	Platalea_leucorodia__Eurasian_spoonbill__HLplaLeuc1A__GCA_965183815.1	Platalea leucorodia	Eurasian spoonbill
GCA_037975005.1	Platalea_minor__Black-faced_spoonbill__HLplaMino1__GCA_037975005.1	Platalea minor	Black-faced spoonbill
GCA_045787385.1	Plegadis_falcinellus__glossy_ibis__HLpleFalc1__GCA_045787385.1	Plegadis falcinellus	glossy ibis
GCA_020745775.1	Theristicus_caerulescens__plumbeous_ibis__HLtheCae1__GCA_020745775.1	Theristicus caerulescens	plumbeous ibis
GCA_028583065.1	Threskiornis_aethiopicus__Sacred_ibis__HLthrAeth1__GCA_028583065.1	Threskiornis aethiopicus	Sacred ibis
GCA_014363385.1	Phoebastria_albatrus__Short-tailed_albatross__HLphoAlb1__GCA_014363385.1	Phoebastria albatrus	Short-tailed albatross
GCA_013396615.1	Oceanites_oceanicus__Wilsons_storm-petrel__HLoceOce1__GCA_013396615.1	Oceanites oceanicus	Wilsons storm-petrel
GCA_013397025.1	Hydrobates_tethys__Wedge-rumped_storm-petrel__HLhydTet1__GCA_013397025.1	Hydrobates tethys	Wedge-rumped storm-petrel
GCA_045784155.1	Ardenna_gravis__Great_shearwater__HLardGrav1__GCA_045784155.1	Ardenna gravis	Great shearwater
GCA_013401115.1	Calonectris_borealis__Corys_shearwater__HLcalBor1__GCA_013401115.1	Calonectris borealis	Corys shearwater
NCBI	Calonectris_borealis__Corys_shearwater__HLcalBor2	Calonectris borealis	Corys shearwater
GCA_964195595.2	Calonectris_borealis__Corys_shearwater__HLcalBore3A__GCA_964195595.2	Calonectris borealis	Corys shearwater
GCF_000690835.1	Fulmarus_glacialis__Northern_fulmar__fulGla1__GCF_000690835.1	Fulmarus glacialis	Northern fulmar
GCA_013400755.1	Pelecanoides_urinatrix__Common_diving_petrel__HLpelUri1__GCA_013400755.1	Pelecanoides urinatrix	Common diving petrel
GCA_023333565.1	Puffinus_mauretanicus__Balearic_shearwater__HLpufMau1__GCA_023333565.1	Puffinus mauretanicus	Balearic shearwater
GCA_045787345.1	Puffinus_yelkouan__Yelkouan_shearwater__HLpufYelk1__GCA_045787345.1	Puffinus yelkouan	Yelkouan shearwater
GCA_010087175.1	Aptenodytes_patagonicus__king_penguin__HLaptPat1__GCA_010087175.1	Aptenodytes patagonicus	king penguin
GCF_000699145.1	Aptenodytes_forsteri__emperor_penguin__aptFor1__GCF_000699145.1	Aptenodytes forsteri	emperor penguin
GCA_010085355.1	Eudyptes_chrysocome__Rockhopper_penguin__HLeudChr1__GCA_010085355.1	Eudyptes chrysocome	Rockhopper penguin
GCA_010084205.1	Eudyptes_chrysolophus__Macaroni_penguin__HLeudChy1__GCA_010084205.1	Eudyptes chrysolophus	Macaroni penguin
GCA_010085365.1	Eudyptes_filholi__Southern_rockhopper_penguin__HLeudFil1__GCA_010085365.1	Eudyptes filholi	Southern rockhopper penguin
GCA_010082375.1	Eudyptes_moseleyi__Northern_rockhopper_penguin__HLeudMos1__GCA_010082375.1	Eudyptes moseleyi	Northern rockhopper penguin
GCA_010085335.1	Eudyptes_pachyrhynchus__Fiordland_penguin__HLeudPac1__GCA_010085335.1	Eudyptes pachyrhynchus	Fiordland penguin
GCA_010085315.1	Eudyptes_robustus__Snares_penguin__HLeudRob1__GCA_010085315.1	Eudyptes robustus	Snares penguin
GCA_010080425.1	Eudyptes_schlegeli__Royal_penguin__HLeudSch1__GCA_010080425.1	Eudyptes schlegeli	Royal penguin
GCA_010078445.1	Eudyptes_sclateri__Erect-crested_penguin__HLeudScl1__GCA_010078445.1	Eudyptes sclateri	Erect-crested penguin
GCA_010080465.1	Eudyptula_albosignata__White-flippered_penguin__HLeudAlb1__GCA_010080465.1	Eudyptula albosignata	White-flippered penguin
GCA_010080355.1	Eudyptula_minor__Little_blue_penguin__HLeudMin1__GCA_010080355.1	Eudyptula minor	Little blue penguin
GCA_010078495.1	Eudyptula_novaehollandiae__Australian_little_penguin__HLeudNov1__GCA_010078495.1	Eudyptula novaehollandiae	Australian little penguin
GCA_010078485.1	Megadyptes_antipodes_antipodes__Yellow-eyed_penguin__HLmegAnt1__GCA_010078485.1	Megadyptes antipodes antipodes	Yellow-eyed penguin
GCA_010078415.1	Pygoscelis_antarcticus__chinstrap_penguin__HLpygAnt1__GCA_010078415.1	Pygoscelis antarcticus	chinstrap penguin
GCA_010090195.1	Pygoscelis_papua__Gentoo_penguin__HLpygPap1__GCA_010090195.1	Pygoscelis papua	Gentoo penguin
GCF_000699105.1	Pygoscelis_adeliae__Adelie_penguin__pygAde1__GCF_000699105.1	Pygoscelis adeliae	Adelie penguin
GCA_010077935.1	Spheniscus_demersus__jackass_penguin__HLsphDem1__GCA_010077935.1	Spheniscus demersus	jackass penguin
GCA_050947425.1	Spheniscus_demersus__Jackass_penguin__HLsphDeme2A__GCA_050947425.1	Spheniscus demersus	Jackass penguin
GCA_010076325.1	Spheniscus_humboldti__Humboldts_penguin__HLsphHum1__GCA_010076325.1	Spheniscus humboldti	Humboldts penguin
GCA_027474245.1	Spheniscus_humboldti__Humboldts_penguin__HLsphHumb2__GCA_027474245.1	Spheniscus humboldti	Humboldts penguin
GCA_010076225.1	Spheniscus_magellanicus__Magellanic_penguin__HLsphMag1__GCA_010076225.1	Spheniscus magellanicus	Magellanic penguin
GCA_010077915.1	Spheniscus_mendiculus__Galapagos_penguin__HLsphMen1__GCA_010077915.1	Spheniscus mendiculus	Galapagos penguin
GCA_003264655.1	Spheniscus_mendiculus__Galapagos_penguin__HLsphMen2__GCA_003264655.1	Spheniscus mendiculus	Galapagos penguin
GCA_013396435.1	Anhinga_anhinga__American_anhinga__HLanhAnh1__GCA_013396435.1	Anhinga anhinga	American anhinga
GCA_013389945.1	Fregata_magnificens__Magnificent_frigatebird__HLfreMag1__GCA_013389945.1	Fregata magnificens	Magnificent frigatebird
GCA_002173455.1	Nannopterum_auritus__double-crested_cormorant__HLnanAur1__GCA_002173455.1	Nannopterum auritus	double-crested cormorant
GCA_002173475.1	Nannopterum_harrisi__Galapagos_flightless_cormorant__HLnanHar1__GCA_002173475.1	Nannopterum harrisi	Galapagos flightless cormorant
GCA_949628215.1	Phalacrocorax_aristotelis__European_shag__HLphaAri1__GCA_949628215.1	Phalacrocorax aristotelis	European shag
GCF_963921805.1	Phalacrocorax_carbo__Great_cormorant__HLphaCarb2__GCF_963921805.1	Phalacrocorax carbo	Great cormorant
GCA_002173435.1	Phalacrocorax_pelagicus__Pelagic_cormorant__HLuriPel1__GCA_002173435.1	Phalacrocorax pelagicus	Pelagic cormorant
GCF_000708925.1	Phalacrocorax_carbo__great_cormorant__phaCar1__GCF_000708925.1	Phalacrocorax carbo	great cormorant
GCA_031468815.1	Morus_bassanus__Northern_gannet__HLmorBass1B__GCA_031468815.1	Morus bassanus	Northern gannet
GCA_013389905.1	Sula_dactylatra__masked_booby__HLsulDac1__GCA_013389905.1	Sula dactylatra	masked booby,white booby
GCA_045787245.1	Sula_leucogaster__Brown_booby__HLsulLeuc1__GCA_045787245.1	Sula leucogaster	Brown booby
GCA_008658365.1	Alca_torda__razorbill__HLalcTor1__GCA_008658365.1	Alca torda	razorbill
GCA_013401065.1	Cepphus_grylle__Black_guillemot__HLcepGry1__GCA_013401065.1	Cepphus grylle	Black guillemot
GCA_905066775.2	Fratercula_arctica__Atlantic_puffin__HLfraArc1__GCA_905066775.2	Fratercula arctica	Atlantic puffin
GCA_014363165.1	Fratercula_cirrhata__tufted_puffin__HLfraCirr1__GCA_014363165.1	Fratercula cirrhata	tufted puffin
GCA_013401055.1	Uria_aalge__common_murre__HLuriAal1__GCA_013401055.1	Uria aalge	common murre
GCA_002289315.1	Uria_lomvia__thick-billed_guillemot__HLuriLom1__GCA_002289315.1	Uria lomvia	thick-billed guillemot
GCA_013397275.1	Burhinus_bistriatus__Double_striped_thick_knee__HLburBis1__GCA_013397275.1	Burhinus bistriatus	Double striped thick knee
GCA_008921705.1	Burhinus_oedicnemus__Eurasian_thick-knee__HLburOed1__GCA_008921705.1	Burhinus oedicnemus	Eurasian thick-knee
GCA_043789995.1	Anarhynchus_nivosus__Snowy_plover__HLanaNivo1__GCA_043789995.1	Anarhynchus nivosus	Snowy plover
GCA_008711295.1	Charadrius_alexandrinus__Kentish_plover__HLchaAle1__GCA_008711295.1	Charadrius alexandrinus	Kentish plover
GCF_000708025.1	Charadrius_vociferus__killdeer__chaVoc2__GCF_000708025.1	Charadrius vociferus	killdeer
GCA_013398815.1	Ibidorhyncha_struthersii__Ibisbill__HLibiStr1__GCA_013398815.1	Ibidorhyncha struthersii	Ibisbill
GCA_017639485.1	Pluvialis_apricaria__European_golden_plover__HLpluApr1__GCA_017639485.1	Pluvialis apricaria	European golden plover
GCA_045787105.1	Pluvialis_dominica__American_golden-plover__HLpluDomi1__GCA_045787105.1	Pluvialis dominica	American golden-plover
GCA_013400795.1	Pluvianellus_socialis__magellanic_plover__HLpluSoc1__GCA_013400795.1	Pluvianellus socialis	magellanic plover
GCA_965231255.1	Vanellus_vanellus__Northern_lapwing__HLvanVane1A__GCA_965231255.1	Vanellus vanellus	Northern lapwing
GCA_013398295.1	Chionis_minor__black-faced_sheathbill__HLchiMin1__GCA_013398295.1	Chionis minor	black-faced sheathbill
GCA_013398915.1	Dromas_ardeola__Crab_plover__HLdroArd1__GCA_013398915.1	Dromas ardeola	Crab plover
GCA_013401295.1	Glareola_pratincola__Collared_pratincole__HLglaPra1__GCA_013401295.1	Glareola pratincola	Collared pratincole
GCA_013400135.1	Rhinoptilus_africanus__double-banded_courser__HLrhiAfr1__GCA_013400135.1	Rhinoptilus africanus	double-banded courser
GCA_976988815.1	Haematopus_ostralegus__Eurasian_oystercatcher__HLhaeOstr1A__GCA_976988815.1	Haematopus ostralegus	Eurasian oystercatcher
GCA_013400555.1	Jacana_jacana__wattled_jacana__HLjacJac1__GCA_013400555.1	Jacana jacana	wattled jacana
GCA_045838335.1	Chlidonias_hybrida__Whiskered_tern__HLchlHybr1__GCA_045838335.1	Chlidonias hybrida	Whiskered tern
GCA_045788085.1	Chroicocephalus_genei__Slender-billed_gull__HLchrGene1__GCA_045788085.1	Chroicocephalus genei	Slender-billed gull
GCA_013397655.1	Chroicocephalus_maculipennis__brown-hooded_gull__HLchrMac1__GCA_013397655.1	Chroicocephalus maculipennis	brown-hooded gull
GCA_030820635.1	Chroicocephalus_ridibundus__Black-headed_gull__HLchrRid1__GCA_030820635.1	Chroicocephalus ridibundus	Black-headed gull
GCF_963924245.1	Chroicocephalus_ridibundus__Black-headed_gull__HLchrRidi2__GCF_963924245.1	Chroicocephalus ridibundus	Black-headed gull
GCA_045787485.1	Gelochelidon_nilotica__Gull-billed_tern__HLgelNilo1__GCA_045787485.1	Gelochelidon nilotica	Gull-billed tern
GCA_045787045.1	Ichthyaetus_audouinii__Audouins_gull__HLichAudo1__GCA_045787045.1	Ichthyaetus audouinii	Audouins gull
GCA_964417175.1	Larus_argentatus__European_herring_gull__HLlarArg1A__GCA_964417175.1	Larus argentatus	European herring gull
